Shape_circ, Shape_eccent, Shape_e1, Shape_e2, Shape_corn, White_box, Black_box, Hu1, Hu2, Hu3, Hu4, Hu5, Hu6, Hu7
1.974580652807724324e+00,1.206142962773856464e+00,9.591279964182585900e+02,7.952025804739437262e+02,3.100000000000000000e+01,1.077200000000000000e+04,6.500000000000000000e+03,1.656478070263170399e-01,2.136697976667928779e-04,8.532609332229734798e-05,2.980226396654500035e-04,4.440418316258115218e-08,-6.986216853311486584e-07,1.693570547394941966e-08
8.383329439938588257e-01,1.164264112962620112e+00,6.401183063984274213e+02,5.498050650806060275e+02,3.000000000000000000e+00,7.442000000000000000e+03,2.456000000000000000e+03,1.629244216872199613e-01,2.289669065732436023e-04,2.799129149631919553e-05,3.448652135845160934e-04,3.379872631194636165e-08,5.153479756855610554e-06,-2.392349115138000405e-09
1.111675523465305071e+00,1.618213134800370323e+00,8.979138065853219359e+02,1.453015915734967166e+03,2.500000000000000000e+01,1.430300000000000000e+04,5.293000000000000000e+03,1.681860629451728539e-01,1.233072584430006764e-03,1.166927532978269757e-04,3.454698836495026320e-04,-5.666298082671609718e-08,-1.159957162593282697e-05,-4.000924751109356630e-08
1.893742651865125026e+00,1.265351501302917958e+00,1.290299318895732540e+03,1.019716116483938322e+03,2.800000000000000000e+01,1.384500000000000000e+04,6.157000000000000000e+03,1.714008779481581701e-01,5.060037896286181209e-04,3.598485926458896533e-05,6.050023908263431772e-04,8.789254776033031346e-08,1.014883250988896469e-05,1.560981030684056817e-08
9.219447660459277882e-01,1.900734823530563000e+00,5.284150186019894591e+02,1.004376827133351526e+03,8.000000000000000000e+00,9.117000000000000000e+03,3.603000000000000000e+03,1.681684305063234908e-01,2.719280188939348676e-03,1.406314939422088534e-05,5.178879632605528076e-06,-4.242408099229904309e-11,-4.596778562423505810e-08,-1.239323278630542769e-11
2.572509889141517458e+00,1.246190796735749506e+00,8.725466861846571192e+02,1.087359650045595799e+03,3.100000000000000000e+01,1.136000000000000000e+04,6.154000000000000000e+03,1.784804262180402223e-01,3.837377971170327965e-04,5.016412791612847363e-04,7.049806911254043185e-04,4.178607530201532855e-07,1.999103088283531394e-06,-3.397601747312078246e-08
1.237673590395048207e+00,1.162126395109183585e+00,1.013119553525131323e+03,8.717808646192457900e+02,2.800000000000000000e+01,1.177800000000000000e+04,4.212000000000000000e+03,1.650169059485159795e-01,2.815265196576836795e-04,1.926567422549981131e-05,5.624902594367696103e-04,5.853989320653785603e-08,9.205728447085677565e-06,-1.333746091701757873e-09
4.225148054455846847e+00,1.477030361640041978e+00,9.503006117555245282e+02,1.403622856248015523e+03,6.000000000000000000e+01,1.278800000000000000e+04,7.612000000000000000e+03,1.905844184331459412e-01,1.633663200431657208e-03,1.097444418615157015e-03,1.209901194287979140e-03,1.082106363586467913e-06,4.279373058688108083e-05,-8.790672982102917466e-07
1.032563888668529550e+00,1.022733372829568665e+00,7.229955655456639079e+02,7.394316932913383198e+02,1.900000000000000000e+01,9.173000000000000000e+03,2.491000000000000000e+03,1.612369238802165705e-01,1.199912023467041847e-05,5.079177188755828093e-06,1.881827901865292007e-04,3.192698158644152976e-12,6.262722502897817948e-07,5.817902940757921820e-09
1.173658626103013081e+00,1.183618709209954822e+00,6.967610712420109849e+02,8.246994397712144291e+02,1.800000000000000000e+01,9.484000000000000000e+03,3.284000000000000000e+03,1.604230551197098897e-01,1.822918342770828625e-04,1.889196979570952301e-06,1.069848055566358257e-06,-7.082096534787761917e-13,1.176244433869695072e-08,1.346031508303517201e-12
1.387309925890827245e+00,1.601934583162506698e+00,1.234839446736378932e+03,1.978132014380261808e+03,2.000000000000000000e+01,1.903100000000000000e+04,8.282000000000000000e+03,1.789022895498687538e-01,1.495776509594146705e-03,5.553171852515053752e-04,1.350212023175379524e-03,-1.993313929821550502e-07,2.551491028514824030e-05,-1.152041388410407094e-06
1.055511350623980826e+00,1.182423918765163284e+00,6.667605019018849362e+02,5.638929417109565065e+02,1.900000000000000000e+01,7.672000000000000000e+03,2.426000000000000000e+03,1.624044579196967375e-01,2.313716452893622186e-04,3.615753177575943322e-05,2.271219422474058823e-04,4.650983083333140481e-09,3.251117039202902683e-06,2.004963758055382536e-08
2.026831640850392802e+00,1.078990132920853773e+00,1.106382919740115540e+03,1.025387430323490435e+03,2.200000000000000000e+01,1.298100000000000000e+04,4.692000000000000000e+03,1.642607080056324442e-01,3.855143247763286561e-05,4.245313777709526948e-05,1.031449342591153394e-05,9.672601732470834687e-11,3.398722577644792569e-09,-1.929504390716895640e-10
1.119076304897764773e+00,1.180902989221135346e+00,7.399855419482249772e+02,6.266268683393565198e+02,2.400000000000000000e+01,8.513000000000000000e+03,3.257000000000000000e+03,1.618194837971872746e-01,2.019523228870107013e-04,3.264188802205485125e-05,1.325100499867725508e-04,-2.960090649108861432e-10,1.391402293025982615e-06,-8.709840404902714697e-09
8.795280345221918594e-01,1.119679657452226973e+00,1.022608790794879951e+03,9.133047867653264120e+02,7.000000000000000000e+00,1.212000000000000000e+04,3.747000000000000000e+03,1.598569067106180575e-01,8.038411396837468999e-05,1.500237445132215235e-05,1.354056775392059588e-05,1.929817968371525511e-10,-4.588138552887991375e-08,-1.803617723137263418e-12
1.392595482226387738e+00,2.653951059023489378e+00,5.905221302633507321e+02,1.567216832989226759e+03,1.200000000000000000e+01,1.162300000000000000e+04,6.067000000000000000e+03,1.962534295694467468e-01,5.567055663754373086e-03,3.738122509005670918e-04,9.691792086620684438e-04,-4.598729541535430088e-07,-4.916721292755436439e-05,-3.589148660687008291e-07
1.111875469957158247e+00,1.061213373717677211e+00,7.595772272477532852e+02,8.060735119267070559e+02,2.600000000000000000e+01,9.798000000000000000e+03,3.657000000000000000e+03,1.600404503944558299e-01,2.354971661949472003e-05,2.317930054526988577e-06,2.771984864192415262e-05,-2.037530003336419501e-10,7.004426360056048408e-08,-8.863309047935784253e-11
9.386633352027259347e-01,1.300142948016604905e+00,8.276487972282945975e+02,1.076061747150792144e+03,4.000000000000000000e+00,1.179500000000000000e+04,4.333000000000000000e+03,1.615040961273026543e-01,4.484515600749600897e-04,8.161606874865233648e-07,1.432819592428824650e-05,-4.880682776835509565e-11,3.034201915307979125e-07,-4.319911219834700369e-12
9.489298748398694583e-01,1.183138199595604734e+00,1.846538462649704798e+03,1.560712403065719172e+03,5.000000000000000000e+00,2.104900000000000000e+04,7.313000000000000000e+03,1.653263674778863435e-01,2.212883348418027897e-04,2.221572353738607362e-04,4.180483762006001512e-04,5.152096183951760050e-08,3.354488701062359640e-06,1.165177944167011460e-07
1.283481292212033109e+00,2.184283460244905495e+00,4.501730395217779233e+02,9.833055244755955755e+02,6.000000000000000000e+00,7.902000000000000000e+03,4.374000000000000000e+03,1.913231552236825395e-01,4.560775924568870668e-03,2.378489706233440776e-03,2.084929964652793965e-03,2.322037661995901203e-06,8.241374533622245391e-05,-4.020511668617887939e-06
1.080975855442292133e+00,1.055969851430943240e+00,7.386439018865365824e+02,6.994933623205258755e+02,2.100000000000000000e+01,9.018000000000000000e+03,3.078000000000000000e+03,1.600038891259237261e-01,1.473174061446253088e-05,6.284603604225948882e-07,5.464173624299168986e-05,-3.119252693505400199e-10,-1.885245314047686121e-07,7.233755500679957623e-11
1.783427920034640346e+00,1.474645364947543724e+00,1.010276148274552725e+03,1.489799039370126593e+03,2.600000000000000000e+01,1.490700000000000000e+04,5.217000000000000000e+03,1.807664469695640097e-01,1.352333258242518349e-03,1.481542626031079378e-04,1.615060042492748012e-03,1.816755720920897406e-07,4.059106634991572631e-05,-7.688506559720493982e-07
2.536476464105886119e+00,4.766471973986937449e+00,4.893954235416179017e+02,2.332689570508588986e+03,2.500000000000000000e+01,1.202100000000000000e+04,6.519000000000000000e+03,2.668846034167943193e-01,2.066485412591891058e-02,1.140440331806390033e-02,8.738543288104312634e-03,4.477639927445981451e-05,4.805039018844222505e-04,-7.486763204039913015e-05
4.129784412476982247e+00,1.436761275514726099e+00,8.830804672022060231e+02,1.268775818439581826e+03,4.800000000000000000e+01,1.239400000000000000e+04,6.106000000000000000e+03,1.745992713238828931e-01,9.605199922249843146e-04,5.929263324309852267e-05,1.637192443686353758e-04,1.387986706432155269e-09,-2.425056760865538007e-07,-1.607075243011717553e-08
1.016455923542451290e+00,1.205960825258215463e+00,6.378332506193102063e+02,7.692019132939934707e+02,1.900000000000000000e+01,8.786000000000000000e+03,3.184000000000000000e+03,1.699462709999085552e-01,2.613292552691216819e-04,4.415494413582961395e-05,1.050404460165055374e-03,1.414036130166283015e-07,8.388302023822401273e-06,-1.765756963791894542e-07
1.030269176276439103e+00,2.012709774035132515e+00,7.998637975030488860e+02,1.609893683131244643e+03,3.000000000000000000e+00,1.408300000000000000e+04,4.982000000000000000e+03,2.009229905509322678e-01,1.974214153421437190e-03,9.900354732216730055e-04,3.390613439808316289e-03,2.954824353382544431e-07,4.768180688421641751e-06,-6.205131029788014978e-06
1.126637300290345367e+00,1.477671324205769299e+00,8.899973905997499060e+02,1.315123622707211780e+03,8.000000000000000000e+00,1.342700000000000000e+04,4.661000000000000000e+03,1.710442322086286604e-01,6.193464718404297943e-04,5.670323235405696355e-05,6.266717344233178194e-04,-1.181309477602754723e-07,-1.539457784644385994e-05,1.562345419020533736e-10
9.956737305089332635e-01,1.042603591375420136e+00,6.114133096311480813e+02,6.374617124361667493e+02,2.100000000000000000e+01,7.830000000000000000e+03,2.574000000000000000e+03,1.596343486530565903e-01,1.005943980755072798e-05,9.485983294352943451e-06,1.496780492492518078e-05,1.132297796405857928e-10,-4.699314787439164148e-08,1.377987897325190429e-10
1.135100170514507401e+00,1.249848599023728246e+00,7.807730579312465125e+02,6.246941097834711627e+02,2.000000000000000000e+01,8.588000000000000000e+03,3.669000000000000000e+03,1.646018380292718630e-01,3.128076352264505034e-04,7.330798194782590200e-05,1.280101412475296663e-04,-7.937928020179572203e-09,-1.289458476286580294e-07,9.527004979880135054e-09
